time,duration,source_computer,source_port,destination_computer,destination_port,protocol,packet_count,byte_count
471692,0,C5808,N24128,C26871,N17023,6,1,60
471692,0,C5808,N2414,C26871,N19148,6,1,60
471692,0,C5808,N24156,C26871,N8001,6,1,60
471692,0,C5808,N24161,C26871,N18502,6,1,60
471692,0,C5808,N24162,C26871,N11309,6,1,60
471692,0,C5808,N24171,C26871,N18395,6,1,60
471692,0,C5808,N24175,C26871,N19325,6,1,60
471692,0,C5808,N24178,C26871,N8857,6,1,60
471692,0,C5808,N24190,C26871,706,6,1,60
471692,0,C5808,N24202,C26871,N16132,6,1,60
471692,0,C5808,N24207,C26871,N18480,6,1,60
471692,0,C5808,N24235,C26871,N12219,6,1,60
471692,0,C5808,N24265,C26871,N3622,6,1,60
471692,0,C5808,N24299,C26871,N16781,6,1,60
471692,0,C5808,N24303,C26871,N19810,6,1,60
471692,0,C5808,N24320,C26871,N10744,6,1,60
471692,0,C5808,N24326,C26871,N21047,6,1,60
471692,0,C5808,N2435,C26871,N1780,6,1,60
471692,0,C5808,N24377,C26871,N21250,6,1,60
471692,0,C5808,N2439,C26871,N128,6,1,60
471692,0,C5808,N2441,C26871,N15967,6,1,60
471692,0,C5808,N24462,C26871,N6808,6,1,60
471692,0,C5808,N24465,C26871,N11366,6,1,60
471692,0,C5808,N24466,C26871,2605,6,1,60
471692,0,C5808,N2447,C26871,N14138,6,1,60
471692,0,C5808,N24474,C26871,N18858,6,1,60
471692,0,C5808,N24475,C26871,N5448,6,1,60
471692,0,C5808,N24503,C26871,N8957,6,1,60
471692,0,C5808,N24516,C26871,N9100,6,1,60
471692,0,C5808,N24527,C26871,N18421,6,1,60
471692,0,C5808,N24530,C26871,N21130,6,1,60
471692,0,C5808,N24560,C26871,N3489,6,1,60
471692,0,C5808,N24600,C26871,N9998,6,1,60
471692,0,C5808,N24610,C26871,N17831,6,1,60
471692,0,C5808,N24619,C26871,N18953,6,1,60
471692,0,C5808,N24625,C26871,N19716,6,1,60
471692,0,C5808,N24627,C26871,N2118,6,1,60
471692,0,C5808,N24636,C26871,N4986,6,1,60
471692,0,C5808,N24653,C26871,1529,6,1,60
471692,0,C5808,N24666,C26871,N10982,6,1,60
471692,0,C5808,N24677,C26871,N3784,6,1,60
471692,0,C5808,N24682,C26871,N18892,6,1,60
471692,0,C5808,N24733,C26871,N74,6,1,60
471692,0,C5808,N2474,C26871,N19399,6,1,60
471692,0,C5808,N2476,C26871,N17117,6,1,60
471692,0,C5808,N24772,C26871,N20820,6,1,60
471692,0,C5808,N24784,C26871,N17807,6,1,60
471692,0,C5808,N24786,C26871,5354,6,1,60
471692,0,C5808,N24801,C26871,N19906,6,1,60
471692,0,C5808,N24818,C26871,N9793,6,1,60
471692,0,C5808,N24822,C26871,N21492,6,1,60
471692,0,C5808,N24857,C26871,N17842,6,1,60
471692,0,C5808,N24866,C26871,N8423,6,1,60
471692,0,C5808,N2488,C26871,N19370,6,1,60
471692,0,C5808,N24944,C26871,N16778,6,1,60
471692,0,C5808,N24991,C26871,N4508,6,1,60
471692,0,C5808,N25005,C26871,N8030,6,1,60
471692,0,C5808,N25043,C26871,N16895,6,1,60
471692,0,C5808,N2505,C26871,N15880,6,1,60
471692,0,C5808,N2507,C26871,N18451,6,1,60
471692,0,C5808,N25082,C26871,N17751,6,1,60
471692,0,C5808,N2509,C26871,N12594,6,1,60
471692,0,C5808,N2510,C26871,N18088,6,1,60
471692,0,C5808,N25100,C26871,N17300,6,1,60
471692,0,C5808,N25109,C26871,370,6,1,60
471692,0,C5808,N25113,C26871,N19580,6,1,60
471692,0,C5808,N25114,C26871,N2289,6,1,60
471692,0,C5808,N25118,C26871,N21075,6,1,60
471692,0,C5808,N25141,C26871,N19704,6,1,60
471692,0,C5808,N25144,C26871,N20520,6,1,60
471692,0,C5808,N25147,C26871,N19386,6,1,60
471692,0,C5808,N25161,C26871,N21122,6,1,60
471692,0,C5808,N25172,C26871,N17612,6,1,60
471692,0,C5808,N25173,C26871,N3886,6,1,60
471692,0,C5808,N25179,C26871,N6684,6,1,60
471692,0,C5808,N25205,C26871,N10490,6,1,60
471692,0,C5808,N25243,C26871,N19656,6,1,60
471692,0,C5808,N25259,C26871,N2885,6,1,60
471692,0,C5808,N25271,C26871,N19295,6,1,60
471692,0,C5808,N25273,C26871,N20334,6,1,60
471692,0,C5808,N25311,C26871,N17311,6,1,60
471692,0,C5808,N25339,C26871,N20548,6,1,60
471692,0,C5808,N25340,C26871,N17635,6,1,60
471692,0,C5808,N25364,C26871,N19801,6,1,60
471692,0,C5808,N25372,C26871,20011,6,1,60
471692,0,C5808,N25386,C26871,N18025,6,1,60
471692,0,C5808,N25388,C26871,N660,6,1,60
471692,0,C5808,N2541,C26871,N7085,6,1,60
471692,0,C5808,N25418,C26871,N12204,6,1,60
471692,0,C5808,N25419,C26871,N19086,6,1,60
471692,0,C5808,N25427,C26871,N2773,6,1,60
471692,0,C5808,N25434,C26871,N12960,6,1,60
471692,0,C5808,N25458,C26871,N14467,6,1,60
471692,0,C5808,N25471,C26871,N12633,6,1,60
471692,0,C5808,N25475,C26871,N1945,6,1,60
471692,0,C5808,N25499,C26871,N19018,6,1,60
471692,0,C5808,N255,C26871,N17772,6,1,60
471692,0,C5808,N25501,C26871,N14938,6,1,60
471692,0,C5808,N25507,C26871,N21446,6,1,60
471692,0,C5808,N25518,C26871,N5480,6,1,60
471692,0,C5808,N25550,C26871,N993,6,1,60
471692,0,C5808,N25557,C26871,N21161,6,1,60
471692,0,C5808,N25578,C26871,N21225,6,1,60
471692,0,C5808,N25587,C26871,N3485,6,1,60
471692,0,C5808,N25605,C26871,5355,6,1,60
471692,0,C5808,N25605,C26871,N20608,6,1,60
471692,0,C5808,N25626,C26871,N16890,6,1,60
471692,0,C5808,N25681,C26871,N19459,6,1,60
471692,0,C5808,N25681,C26871,N7817,6,1,60
471692,0,C5808,N25698,C26871,N20877,6,1,60
471692,0,C5808,N25704,C26871,N3746,6,1,60
471692,0,C5808,N25704,C26871,N583,6,1,60
471692,0,C5808,N25707,C26871,N14222,6,1,60
471692,0,C5808,N25711,C26871,N17362,6,1,60
471692,0,C5808,N25724,C26871,N13721,6,1,60
471692,0,C5808,N25729,C26871,N18258,6,1,60
